,n,sequence_length,mut_rate,k,Value
72,50,10000,0.0001,10,0.9999999999999996
73,50,100000,0.0001,10,0.9080870436323771
74,50,1000000,0.0001,10,0.9484342738249686
75,50,1000000,1e-06,10,0.9833009984379854
76,50,10000000,0.0001,10,0.8895832887159822
77,50,10000000,1e-06,10,0.9465396531982755
78,200,10000,0.0001,10,0.9852193494333148
79,200,100000,0.0001,10,0.842532202362154
80,200,1000000,0.0001,10,0.8880284969111549
81,200,1000000,1e-06,10,0.9945041850720258
82,200,10000000,0.0001,10,0.8931941262221892
83,200,10000000,1e-06,10,0.8940082638841449
84,1000,10000,0.0001,10,0.9497324734575493
85,1000,100000,0.0001,10,0.885584385642872
86,1000,1000000,0.0001,10,0.870155801882203
87,1000,1000000,1e-06,10,0.9826189436078723
88,1000,10000000,0.0001,10,0.915278627810583
89,1000,10000000,1e-06,10,0.916889452975056
90,10000,10000,0.0001,10,0.966914184647935
91,10000,100000,0.0001,10,0.9518912332169241
92,10000,1000000,0.0001,10,0.9208412228200891
93,10000,1000000,1e-06,10,0.9746666072585369
94,10000,10000000,0.0001,10,0.8795481249696578
95,10000,10000000,1e-06,10,0.90765081781369
