,n,sequence_length,mut_rate,k,Value
24,50,10000,0.0001,3,0.9315512274903653
25,50,100000,0.0001,3,0.5733300201342784
26,50,1000000,0.0001,3,0.6640287569430838
27,50,1000000,1e-06,3,0.833287822615595
28,50,10000000,0.0001,3,0.5276594679022926
29,50,10000000,1e-06,3,0.7857948498373926
30,200,10000,0.0001,3,0.8460248230702672
31,200,100000,0.0001,3,0.43531795292424247
32,200,1000000,0.0001,3,0.6415788687232572
33,200,1000000,1e-06,3,0.8478845839338742
34,200,10000000,0.0001,3,0.6306983831176243
35,200,10000000,1e-06,3,0.6539892587909686
36,1000,10000,0.0001,3,0.6957604759682265
37,1000,100000,0.0001,3,0.6101556738260727
38,1000,1000000,0.0001,3,0.6024727887944619
39,1000,1000000,1e-06,3,0.7170395941441102
40,1000,10000000,0.0001,3,0.6423739950240572
41,1000,10000000,1e-06,3,0.7331808056216015
42,10000,10000,0.0001,3,0.800166326967543
43,10000,100000,0.0001,3,0.8467482131222561
44,10000,1000000,0.0001,3,0.5449138104846254
45,10000,1000000,1e-06,3,0.8331555962577603
46,10000,10000000,0.0001,3,0.6106430687665438
47,10000,10000000,1e-06,3,0.7242161080162344
