,n,sequence_length,mut_rate,k,Value
21,50,10000,0.0001,3,0.9230124299750031
22,50,100000,0.0001,3,0.5542768599792091
23,50,1000000,0.0001,3,0.7816090640313804
24,50,1000000,1e-06,3,0.8428184934455194
25,50,10000000,0.0001,3,0.46764310386066477
26,50,10000000,1e-06,3,0.7743313300290189
27,200,10000,0.0001,3,0.8197536287162555
28,200,100000,0.0001,3,0.5060302015171235
29,200,1000000,0.0001,3,0.609403887838868
30,200,1000000,1e-06,3,0.8729873950733655
31,200,10000000,0.0001,3,0.6409039276480823
32,200,10000000,1e-06,3,0.5455637910099022
33,1000,10000,0.0001,3,0.6384486317332876
34,1000,100000,0.0001,3,0.6209885933653795
35,1000,1000000,0.0001,3,0.6151959956039663
36,1000,1000000,1e-06,3,0.4892700748712915
37,1000,10000000,1e-06,3,0.730606186111834
38,10000,10000,0.0001,3,0.7915965028182766
39,10000,100000,0.0001,3,0.8539355172710724
40,10000,1000000,1e-06,3,0.7766060090389976
41,10000,10000000,1e-06,3,0.7272590690732328
